Date,Close,High,Low,Open,Volume,Retorno_Diario,Ticker,DiasParaEleicaoBR,DiasParaEleicaoUSA,Petroleo_Brent,Petroleo_WTI,Alvo
2015-01-02,39.607177734375,40.16621820057352,39.42083306642058,39.52247590632005,27913900,,MSFT,1395,676,56.41999816894531,52.689998626708984,-1.0
2015-01-05,39.242950439453125,39.58176092370556,39.1751864039024,39.27682922606143,39673900,-0.009195992134672148,MSFT,1392,673,53.11000061035156,50.040000915527344,-1.0
2015-01-06,38.66697692871094,39.598709988924426,38.573802976456044,39.285309338658834,36447900,-0.014677120458382542,MSFT,1391,672,51.099998474121094,47.93000030517578,-1.0
2015-01-07,39.15825271606445,39.35306950794525,38.53145142586843,38.94649491212867,29114100,0.012705306346013634,MSFT,1390,671,51.150001525878906,48.650001525878906,-1.0
2015-01-08,40.310218811035156,40.445743686812314,39.57330250094486,39.5987124054131,29645200,0.029418220044790555,MSFT,1389,670,50.959999084472656,48.790000915527344,-1.0
2015-01-09,39.97140121459961,40.50503177599165,39.72576462198083,40.327155999250174,23944200,-0.008405253219384456,MSFT,1388,669,50.11000061035156,48.36000061035156,-1.0
2015-01-12,39.471649169921875,40.267860496123156,39.26836350918302,40.16621443458641,23651900,-0.012502740196538298,MSFT,1385,666,47.43000030517578,46.06999969482422,-1.0
2015-01-13,39.268367767333984,40.581265508461065,39.01425904827192,39.78505732708854,35270600,-0.005150061040337661,MSFT,1384,665,46.59000015258789,45.88999938964844,-1.0
2015-01-14,38.929561614990234,39.16673259959399,38.64157081531791,38.929561614990234,29719600,-0.008627966264123432,MSFT,1383,664,48.689998626708984,48.47999954223633,-1.0
2015-01-15,38.52298355102539,39.28531302170036,38.46369161788045,39.149788141487925,32750800,-0.010443941495819176,MSFT,1382,663,47.66999816894531,46.25,-1.0
2015-01-16,39.166725158691406,39.20060395191138,38.260398777743646,38.378985863100475,35695300,0.016710585430470326,MSFT,1381,662,47.689998626708984,48.689998626708984,-1.0
2015-01-20,39.29377365112305,39.51400355464247,38.59920838217841,39.21754072008438,36161900,0.003243786451812891,MSFT,1377,658,47.9900016784668,46.38999938964844,-1.0
2015-01-21,38.89567184448242,39.08201974576873,38.52297927307745,38.912612856523694,39081100,-0.010131422096926745,MSFT,1376,657,49.029998779296875,47.779998779296875,-1.0
2015-01-22,39.92057800292969,39.92904689250361,39.03119596397086,39.28530465636376,35898000,0.026350133828390243,MSFT,1375,656,48.52000045776367,46.310001373291016,-1.0
2015-01-23,39.962947845458984,40.140823691285426,39.64107495931909,40.11541377935846,26211600,0.0010613534334644736,MSFT,1374,655,48.790000915527344,45.59000015258789,-1.0
2015-01-26,39.81894302368164,39.92058911386341,39.16673171644058,39.81047413175061,42525500,-0.0036034584419103455,MSFT,1371,652,48.15999984741211,45.150001525878906,-1.0
2015-01-27,36.13435745239258,36.5917551592861,35.668490853668374,36.3799973206689,169164000,-0.09253348510777193,MSFT,1370,651,49.599998474121094,46.22999954223633,1.0
2015-01-28,34.88922119140625,36.24447333082105,34.863811284116714,36.2021224082824,84507100,-0.03445851396767774,MSFT,1369,650,48.470001220703125,44.45000076293945,1.0
2015-01-29,35.58378982543945,35.676963802011926,34.55041365268579,34.66899753880764,63585300,0.019907828558932916,MSFT,1368,649,49.130001068115234,44.529998779296875,1.0
2015-01-30,34.220062255859375,35.21955934447167,34.177708110326996,35.19414621091872,78004900,-0.0383244049121807,MSFT,1367,648,52.9900016784668,48.2400016784668,1.0
2015-02-02,34.96544647216797,35.04167940847748,34.07606436933538,34.38099611457342,50352500,0.02178208241514712,MSFT,1364,645,54.75,49.56999969482422,1.0
2015-02-03,35.23649978637695,35.51602165839568,34.77063323084697,35.26191292184913,52082400,0.007752033551887916,MSFT,1363,644,57.90999984741211,53.04999923706055,1.0
2015-02-04,35.439788818359375,35.75318948664794,35.0332141924577,35.52449065373426,41614800,0.005769274281352432,MSFT,1362,643,54.15999984741211,48.45000076293945,1.0
2015-02-05,35.95648193359375,36.117416729020974,35.456733301177586,35.76166510823399,36548200,0.014579463717535157,MSFT,1361,642,56.56999969482422,50.47999954223633,1.0
2015-02-06,35.922607421875,36.24448031126219,35.702380643558854,36.15130632503151,34616600,-0.00094209749945251,MSFT,1360,641,57.79999923706055,51.689998626708984,1.0
2015-02-09,35.880245208740234,36.20211799691545,35.75318922543826,35.77860236079938,31381100,-0.0011792633156403332,MSFT,1357,638,58.34000015258789,52.86000061035156,1.0
2015-02-10,36.083526611328125,36.22752359068182,35.72777507027927,36.202113689511904,29670700,0.005665552211398195,MSFT,1356,637,56.43000030517578,50.02000045776367,1.0
2015-02-11,35.89718246459961,36.12588127190473,35.75318548318488,36.12588127190473,38262500,-0.00516424430282858,MSFT,1355,636,54.65999984741211,48.84000015258789,1.0
2015-02-12,36.49856948852539,36.49856948852539,36.00728990952195,36.13434586441378,33268800,0.01675304251298404,MSFT,1354,635,57.04999923706055,51.209999084472656,1.0
2015-02-13,37.15925598144531,37.15925598144531,36.54939574513008,36.744212523649836,40264900,0.01810170924993737,MSFT,1353,634,57.38999938964844,52.779998779296875,1.0
2015-02-17,37.17633056640625,37.53461395580413,36.84363466375528,37.50902321489383,33695700,0.00045949749288487496,MSFT,1349,630,62.529998779296875,53.529998779296875,1.0
2015-02-18,37.133670806884766,37.27869258207726,37.01424302388096,37.21897869057536,27111700,-0.001147497853379642,MSFT,1348,629,60.529998779296875,52.13999938964844,1.0
2015-02-19,37.10807418823242,37.13366492220265,36.72419690786648,36.83509551200831,27603400,-0.0006893102162039977,MSFT,1347,628,60.209999084472656,51.15999984741211,1.0
2015-02-20,37.4151725769043,37.43223414937195,36.92892915114389,37.11659993996366,29721100,0.0082757835158489,MSFT,1346,627,60.220001220703125,50.34000015258789,1.0
2015-02-23,37.662559509277344,37.69667939915613,37.236029971252286,37.27868227422237,32518800,0.006611941502195684,MSFT,1343,624,58.900001525878906,49.45000076293945,1.0
2015-02-24,37.61138153076172,37.79052318782402,37.46635976969031,37.66256625599211,25271700,-0.0013588555632555455,MSFT,1342,623,58.65999984741211,49.279998779296875,1.0
2015-02-25,37.52607727050781,37.61138189254964,37.363993932800504,37.49195412002599,29759800,-0.0022680437883978444,MSFT,1341,622,61.630001068115234,50.9900016784668,1.0
2015-02-26,37.58579635620117,37.73081488456597,37.44077457367319,37.526082461678826,28957300,0.0015914023004022226,MSFT,1340,621,60.04999923706055,48.16999816894531,1.0
2015-02-27,37.40664291381836,37.70521557271079,37.24456284470243,37.64550169176479,33807700,-0.004766519796068014,MSFT,1339,620,62.58000183105469,49.7599983215332,1.0
2015-03-02,37.4322509765625,37.69669733328409,37.150739785539756,37.2531060122009,31924000,0.0006845859652024888,MSFT,1336,617,59.540000915527344,49.59000015258789,1.0
2015-03-03,36.92039489746094,37.38957998152847,36.75831484834073,37.159253645939515,31748600,-0.0136741998075951,MSFT,1335,616,61.02000045776367,50.52000045776367,1.0
2015-03-04,36.732730865478516,36.86068779486892,36.57917994687991,36.690075301519066,25748700,-0.005082936748201705,MSFT,1334,615,60.54999923706055,51.529998779296875,1.0
2015-03-05,36.7753791809082,36.88627777766472,36.52799125512915,36.741256035111995,23193500,0.0011610439633762404,MSFT,1333,614,60.47999954223633,50.7599983215332,1.0
2015-03-06,36.13559341430664,36.775387906049566,35.956451737617755,36.681550859927846,36248800,-0.017397122228278827,MSFT,1332,613,59.72999954223633,49.61000061035156,1.0
2015-03-09,36.553565979003906,36.79242464080849,35.990547336585955,35.990547336585955,32108000,0.011566782919684604,MSFT,1329,610,58.529998779296875,50.0,1.0
2015-03-10,35.85407638549805,36.43415688971029,35.85407638549805,36.12705506346116,39159700,-0.019136015181327015,MSFT,1328,609,56.38999938964844,48.290000915527344,1.0
2015-03-11,35.81142044067383,36.14411296727223,35.69199268796283,36.09293150420306,32215300,-0.0011897097659298028,MSFT,1327,608,57.540000915527344,48.16999816894531,1.0
2015-03-12,34.992488861083984,35.52991706957931,34.85599951891277,35.25693838523687,59992500,-0.022867888777171164,MSFT,1326,607,57.08000183105469,47.04999923706055,1.0
2015-03-13,35.29958724975586,35.376362700620106,34.64273133773114,34.71950678859539,58007700,0.008776123067182118,MSFT,1325,606,54.66999816894531,44.84000015258789,1.0
2015-03-16,35.45314025878906,35.521383300190095,35.214281478479236,35.37636480336135,35273500,0.004349994461599893,MSFT,1322,603,53.439998626708984,43.880001068115234,1.0
2015-03-17,35.572566986083984,35.683465586064386,35.10338510731483,35.291055906325056,31673400,0.00336857966383719,MSFT,1321,602,53.43000030517578,43.459999084472656,1.0
2015-03-18,36.2550163269043,36.536527427440674,35.256938615902875,35.34224323500701,44194800,0.019184708854080856,MSFT,1320,601,55.90999984741211,44.65999984741211,1.0
2015-03-19,36.07587432861328,36.33179143763615,36.01616044498003,36.050280339797176,33879100,-0.004941164463304282,MSFT,1319,600,54.43000030517578,43.959999084472656,1.0
2015-03-20,36.57917785644531,36.664482471163915,36.24648530321534,36.30619918435085,71904500,0.013951249614838623,MSFT,1318,599,55.31999969482422,45.720001220703125,1.0
2015-03-23,36.5621223449707,36.79244874789589,36.493876038550056,36.57918392157587,26246100,-0.00046626284334616575,MSFT,1315,596,55.91999816894531,47.45000076293945,1.0
2015-03-24,36.59624481201172,36.82656795645541,36.468284616953724,36.49387535430015,25513300,0.0009332736956313425,MSFT,1314,595,55.11000061035156,47.5099983215332,1.0
2015-03-25,35.367828369140625,36.621826247199586,35.3507667971891,36.61329383414277,43469900,-0.033566734761482975,MSFT,1313,594,56.47999954223633,49.209999084472656,1.0
2015-03-26,35.154571533203125,35.49579654090274,34.90718356532904,35.16310394818518,37495600,-0.006029684200898555,MSFT,1312,593,59.189998626708984,51.43000030517578,1.0
2015-03-27,34.9498405456543,35.342247042467925,34.830412764377364,35.07779748809545,34401400,-0.005823737244399663,MSFT,1311,592,56.40999984741211,48.869998931884766,1.0
2015-03-30,34.941314697265625,35.43609074601692,34.89866237510241,35.06074250098805,35049700,-0.00024394527286997203,MSFT,1308,589,56.290000915527344,48.68000030517578,1.0
2015-03-31,34.685394287109375,35.00102534678458,34.58302807259695,34.78776050162179,34887200,-0.007324292528016363,MSFT,1307,588,55.11000061035156,47.599998474121094,1.0
2015-04-01,34.736568450927734,34.770688342606825,34.3868143414593,34.63419901340359,36865300,0.0014753807725165213,MSFT,1306,587,57.099998474121094,50.09000015258789,1.0
2015-04-02,34.369747161865234,34.75362435455387,34.224725442777626,34.685378074004,37487500,-0.010560089997971644,MSFT,1305,586,54.95000076293945,49.13999938964844,1.0
2015-04-06,35.44459915161133,35.64080232199188,34.27590928710036,34.41239859058951,39223700,0.03127320037252668,MSFT,1301,582,58.119998931884766,52.13999938964844,1.0
2015-04-07,35.42753982543945,35.75170316206525,35.239869055108215,35.49578610858673,28809400,-0.0004812955028467014,MSFT,1300,581,59.099998474121094,53.97999954223633,1.0
2015-04-08,35.333717346191406,35.56404376530546,35.0095571303982,35.36784050180013,24753400,-0.002648292252590334,MSFT,1299,580,55.54999923706055,50.41999816894531,1.0
2015-04-09,35.38489532470703,35.50432309237585,35.18869209865646,35.18869209865646,25723900,0.0014484176123954473,MSFT,1298,579,56.56999969482422,50.790000915527344,1.0
2015-04-10,35.58962631225586,35.785829512655546,35.32517682258906,35.512850863911446,28022000,0.005785829961347355,MSFT,1297,578,57.869998931884766,51.63999938964844,1.0
2015-04-13,35.623748779296875,35.87966912839641,35.30811780401318,35.316650217869785,30276700,0.0009587756483204757,MSFT,1294,575,57.93000030517578,51.90999984741211,1.0
2015-04-14,35.52992248535156,35.854082688567836,35.30812523666348,35.657879432674896,24244400,-0.002633813036539312,MSFT,1293,574,58.43000030517578,53.290000915527344,1.0
2015-04-15,36.05027389526367,36.22088635550021,35.55550134015591,35.62374437175332,27343600,0.014645441743551313,MSFT,1292,573,60.31999969482422,56.38999938964844,1.0
2015-04-16,35.9649772644043,36.11852818723786,35.67493699395899,35.785835605819386,22509700,-0.0023660466799000357,MSFT,1291,572,60.400001525878906,56.709999084472656,1.0
2015-04-17,35.50431442260742,35.606683844894,35.11190806632765,35.54696672147926,42387600,-0.012808650994277415,MSFT,1290,571,63.45000076293945,55.7400016784668,1.0
2015-04-20,36.604759216308594,36.82655311027761,35.5554971039843,35.598149400421235,46057700,0.030994678015820565,MSFT,1287,568,63.45000076293945,56.380001068115234,1.0
2015-04-21,36.374446868896484,36.80950892032425,36.28060982822921,36.68154872774834,26013800,-0.006291868935706546,MSFT,1286,567,62.08000183105469,55.2599983215332,1.0
2015-04-22,36.673011779785156,36.79243953194344,36.29766369681664,36.40002987664343,25064300,0.008208094873986216,MSFT,1285,566,62.72999954223633,56.15999984741211,1.0
2015-04-23,36.971580505371094,37.20190684652364,36.510927823065984,36.58770327011684,46309500,0.008141374572091076,MSFT,1284,565,64.8499984741211,57.7400016784668,1.0
2015-04-24,40.8359489440918,41.066275352158094,38.942159456929545,38.950688618341005,130933700,0.10452267352106581,MSFT,1283,564,65.27999877929688,57.150001525878906,-1.0
2015-04-27,40.9724235534668,41.057731407681196,40.28144783222063,40.289976990561115,59248200,0.0033420212558754603,MSFT,1280,561,64.83000183105469,56.9900016784668,-1.0
2015-04-28,41.93639373779297,41.9790460506178,40.69092797999587,40.75917102968302,60730800,0.02352729227911654,MSFT,1279,560,64.63999938964844,57.060001373291016,-1.0
2015-04-29,41.851097106933594,42.06436196596047,41.37338265121453,41.5610567684905,47804600,-0.0020339524517223317,MSFT,1278,559,65.83999633789062,58.58000183105469,-1.0
2015-04-30,41.492794036865234,42.26054852730023,41.45867089192097,41.54397875428164,64725500,-0.008561378191660363,MSFT,1277,558,66.77999877929688,59.630001068115234,-1.0
2015-05-01,41.50986862182617,41.69754272368941,41.288074618485,41.44162556470705,38937300,0.00041150723534721934,MSFT,1276,557,66.45999908447266,59.150001525878906,-1.0
2015-05-04,41.15158462524414,41.68900967469793,41.10039989255956,41.262479998149296,34039500,-0.008631296809107347,MSFT,1273,554,66.44999694824219,58.93000030517578,-1.0
2015-05-05,40.605621337890625,41.08333571691348,40.35823661430089,40.79329542503585,50369200,-0.013267126705458598,MSFT,1272,553,67.5199966430664,60.400001525878906,-1.0
2015-05-06,39.479583740234375,40.75064354122198,39.25778975194494,40.580031028757716,52433000,-0.027731076647890207,MSFT,1271,552,67.7699966430664,60.93000030517578,-1.0
2015-05-07,39.83786392211914,40.170556478022775,39.37721118894681,39.47104821838886,32971700,0.009075074961330865,MSFT,1270,551,65.54000091552734,58.939998626708984,-1.0
2015-05-08,40.73356628417969,40.92976945902816,40.53736310933122,40.562953837392655,35364900,0.022483694502586804,MSFT,1269,550,65.38999938964844,59.38999938964844,-1.0
2015-05-11,40.409420013427734,40.87007283789913,40.409420013427734,40.5629709549182,24609400,-0.007957718911487666,MSFT,1266,547,64.91000366210938,59.25,-1.0
2015-05-12,40.39236068725586,40.6738718470651,39.599015196728566,39.96583099360305,29928300,-0.000422162113838942,MSFT,1265,546,66.86000061035156,60.75,-1.0
2015-05-13,40.6312141418457,41.219823869552805,40.580029413894394,41.10892525273974,34184600,0.005913332385774739,MSFT,1264,545,66.80999755859375,60.5,-1.0
